,data_fname,p0,v0,replicate,f,t0,tmax,dt,n_t,a,k,J,L,cells growth rate,RMSD growth rate,CHull growth rate,_v0
0,p03.50_v01.00e-02_rep0.npy,3.5,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10,2.4110227922326293,1.6866471159656367,2.4237842873419715,0.010
10,p03.50_v01.00e-02_rep1.npy,3.5,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10,2.4110585174231787,1.6741751274580663,2.5450775620117536,0.010
19,p03.50_v01.00e-02_rep2.npy,3.5,0.01,2,200,0,4,0.025,32001,0.4,2,0.0,10,2.4097254269873276,1.6912797109421105,2.4006249900512104,0.010
1,p03.50_v01.80e-02_rep0.npy,3.5,0.018000000000000002,0,200,0,4,0.025,32001,0.4,2,0.0,10,2.4109944920045994,1.6905049362898688,2.477254530097166,0.018
11,p03.50_v01.80e-02_rep1.npy,3.5,0.018000000000000002,1,200,0,4,0.025,32001,0.4,2,0.0,10,2.410460874385875,1.6641493584553386,2.5162001802258676,0.018
20,p03.50_v01.80e-02_rep2.npy,3.5,0.018000000000000002,2,200,0,4,0.025,32001,0.4,2,0.0,10,2.4082144913428585,1.697275910572088,2.3585644790055533,0.018
2,p03.50_v02.00e-03_rep0.npy,3.5,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10,2.4114311250807154,1.6853850470924259,2.4870847810473733,0.002
9,p03.50_v02.00e-03_rep1.npy,3.5,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10,2.4108200648362748,1.6839241644183864,2.4507850417264896,0.002
18,p03.50_v02.00e-03_rep2.npy,3.5,0.002,2,200,0,4,0.025,32001,0.4,2,0.0,10,2.4111942352095044,1.6887884397637234,2.4665338030451274,0.002
4,p03.70_v01.00e-02_rep0.npy,3.7,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10,2.5941630939888625,1.7755886879028313,2.6877961361167975,0.010
13,p03.70_v01.00e-02_rep1.npy,3.7,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10,2.46229660686557,1.6963992534243082,2.5307102192896234,0.010
22,p03.70_v01.00e-02_rep2.npy,3.7,0.01,2,200,0,4,0.025,32001,0.4,2,0.0,10,2.509284036441517,1.647849740582006,2.5923239591023393,0.010
5,p03.70_v01.80e-02_rep0.npy,3.7,0.018000000000000002,0,200,0,4,0.025,32001,0.4,2,0.0,10,2.66073818490735,1.690059175845461,3.1911846247948645,0.018
14,p03.70_v01.80e-02_rep1.npy,3.7,0.018000000000000002,1,200,0,4,0.025,32001,0.4,2,0.0,10,2.885150744999281,2.091742364966534,3.194748703140115,0.018
23,p03.70_v01.80e-02_rep2.npy,3.7,0.018000000000000002,2,200,0,4,0.025,32001,0.4,2,0.0,10,2.910621879147802,2.0184240666491267,3.29943263596936,0.018
3,p03.70_v02.00e-03_rep0.npy,3.7,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10,2.4098338452076713,1.6737349061989233,2.500439868899166,0.002
12,p03.70_v02.00e-03_rep1.npy,3.7,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10,2.4095858041217206,1.6856958875035783,2.3974315231797854,0.002
21,p03.70_v02.00e-03_rep2.npy,3.7,0.002,2,200,0,4,0.025,32001,0.4,2,0.0,10,2.410251575120241,1.6897337210865038,2.4732156132132466,0.002
7,p03.90_v01.00e-02_rep0.npy,3.9,0.01,0,200,0,4,0.025,32001,0.4,2,0.0,10,2.7863704830261335,1.8836251845091891,2.9755592794601804,0.010
15,p03.90_v01.00e-02_rep1.npy,3.9,0.01,1,200,0,4,0.025,32001,0.4,2,0.0,10,2.9329312424491785,1.9314804925234699,3.299660431641354,0.010
25,p03.90_v01.00e-02_rep2.npy,3.9,0.01,2,200,0,4,0.025,32001,0.4,2,0.0,10,2.888751272502251,1.9828248881036963,3.2277161774264824,0.010
8,p03.90_v01.80e-02_rep0.npy,3.9,0.018000000000000002,0,200,0,4,0.025,32001,0.4,2,0.0,10,3.716227862025824,2.432801892663113,4.073792271759477,0.018
17,p03.90_v01.80e-02_rep1.npy,3.9,0.018000000000000002,1,200,0,4,0.025,32001,0.4,2,0.0,10,3.5485843411442715,2.2286061164135935,4.1181771117965145,0.018
26,p03.90_v01.80e-02_rep2.npy,3.9,0.018000000000000002,2,200,0,4,0.025,32001,0.4,2,0.0,10,3.3951584845221525,2.2490363194958998,3.6608999870277756,0.018
6,p03.90_v02.00e-03_rep0.npy,3.9,0.002,0,200,0,4,0.025,32001,0.4,2,0.0,10,2.585583917939933,1.7876950959076996,2.709508084845074,0.002
16,p03.90_v02.00e-03_rep1.npy,3.9,0.002,1,200,0,4,0.025,32001,0.4,2,0.0,10,2.5263095760957577,1.6899297243408227,2.6635357180970787,0.002
24,p03.90_v02.00e-03_rep2.npy,3.9,0.002,2,200,0,4,0.025,32001,0.4,2,0.0,10,2.6507411201110602,1.8614671638278597,2.7704803511534686,0.002
