roi,x,y
0,46.829268292682926,765.675
0,72.04502814258912,960.0749999999999
0,133.28330206378988,1129.2749999999999
0,226.94183864915573,1276.875
0,335.00938086303944,1388.475
0,392.6454033771107,1435.2749999999999
0,1365.253283302064,1431.675
0,1466.1163227016887,1345.2749999999999
0,1566.9793621013134,1226.475
0,1653.4333958724203,1060.875
0,1700.2626641651034,891.675
0,1711.0694183864916,765.675
0,1696.6604127579737,614.475
0,1649.831144465291,452.47499999999997
0,1566.9793621013134,297.675
0,1458.9118198874298,168.075
0,1354.4465290806754,78.075
0,1231.969981238274,6.074999999999999
0,522.3264540337711,6.074999999999999
0,417.8611632270169,70.875
0,320.6003752345216,146.475
0,219.7373358348968,250.875
0,154.89681050656662,351.675
0,104.46529080675423,459.67499999999995
0,61.23827392120075,610.875
