,image,x_vert,y_vert
0,064h_blue,1734.0,3328.7062759399414
1,064h_blue,2915.5,2810.2062759399414
2,064h_blue,3349.0,1722.2062759399414
3,064h_blue,2762.5,481.2062759399414
4,064h_blue,1742.5,124.2062759399414
5,064h_blue,654.5,540.7062759399414
6,064h_blue,136.0,1739.2062759399414
7,064h_blue,518.5,2759.2062759399414
8,088h_blue,1674.5,3311.7062759399414
9,088h_blue,2941.0,2665.7062759399414
10,088h_blue,3230.0,1739.2062759399414
11,088h_blue,2728.5,634.2062759399414
12,088h_blue,1691.5,226.2062759399414
13,088h_blue,586.5,668.2062759399414
14,088h_blue,127.5,1756.2062759399414
15,088h_blue,552.5,2844.2062759399414
16,112h_blue,1708.5,3347.40625
17,112h_blue,2907.0,2828.90625
18,112h_blue,3332.0,1723.90625
19,112h_blue,2771.0,525.40625
20,112h_blue,1742.5,142.90625
21,112h_blue,501.5,720.90625
22,112h_blue,136.0,1774.90625
23,112h_blue,561.0,2837.40625
24,136h_blue,1691.5,3296.40625
25,136h_blue,2966.5,2675.90625
26,136h_blue,3298.0,1681.40625
27,136h_blue,2711.5,457.40625
28,136h_blue,1691.5,108.90625
29,136h_blue,518.5,627.40625
30,136h_blue,102.0,1706.90625
31,136h_blue,544.0,2811.90625
32,160h_blue,1649.0,3245.40625
33,160h_blue,2847.5,2726.90625
34,160h_blue,3264.0,1655.90625
35,160h_blue,2813.5,550.90625
36,160h_blue,1674.5,57.90625
37,160h_blue,620.5,448.90625
38,160h_blue,68.0,1655.90625
39,160h_blue,467.5,2718.40625
40,064h_green,1742.5,3355.90625
41,064h_green,2864.5,2896.90625
42,064h_green,3340.5,1757.90625
43,064h_green,2779.5,542.40625
44,064h_green,1751.0,159.90625
45,064h_green,629.0,610.40625
46,064h_green,136.0,1766.40625
47,064h_green,561.0,2854.40625
48,088h_green,1725.5,3338.90625
49,088h_green,2941.0,2794.90625
50,088h_green,3332.0,1757.90625
51,088h_green,2703.0,474.40625
52,088h_green,1742.5,134.40625
53,088h_green,510.0,703.90625
54,088h_green,127.5,1757.90625
55,088h_green,544.0,2820.40625
56,112h_green,1717.0,3338.90625
57,112h_green,2864.5,2871.40625
58,112h_green,3332.0,1740.90625
59,112h_green,2720.0,499.90625
60,112h_green,1725.5,151.40625
61,112h_green,552.5,661.40625
62,112h_green,136.0,1732.40625
63,112h_green,586.5,2854.40625
64,136h_green,1700.0,3338.90625
65,136h_green,2932.5,2760.90625
66,136h_green,3298.0,1732.40625
67,136h_green,2754.0,550.90625
68,136h_green,1725.5,151.40625
69,136h_green,552.5,635.90625
70,136h_green,102.0,1774.90625
71,136h_green,586.5,2888.40625
72,160h_green,1640.5,3253.90625
73,160h_green,2813.5,2760.90625
74,160h_green,3255.5,1672.90625
75,160h_green,2788.0,525.40625
76,160h_green,1700.0,57.90625
77,160h_green,569.5,482.90625
78,160h_green,59.5,1672.90625
79,160h_green,595.0,2854.40625
